AA  CC  00  0B  D8  00  0A  FF  FF  0F  63  00  04  03  61    = 06/05/2018 11:54:31
AA  CC  00  0B  D8  00  0A  FF  FF  0F  64  00  04  03  62    = 06/05/2018 11:54:32
AA  CC  00  0B  D8  00  0A  FF  FF  0F  64  00  04  03  62    = 06/05/2018 11:54:34
AA  CC  00  0B  D8  00  0A  FF  FF  0F  65  00  04  03  63    = 06/05/2018 11:58:26
AA  CC  00  0B  D8  00  0A  FF  FF  0F  65  00  04  03  63    = 06/05/2018 11:58:29
AA  CC  00  0B  D8  00  0A  FF  FF  0F  66  00  04  03  64    = 06/05/2018 11:58:32
AA  CC  00  0B  D8  00  0A  FF  FF  0F  66  00  04  03  64    = 06/05/2018 11:58:33
AA  CC  00  0B  D8  00  0A  FF  FF  0F  67  00  04  03  65    = 06/05/2018 11:58:35
AA  CC  00  0B  D8  00  0A  FF  FF  0F  68  00  04  03  66    = 06/05/2018 11:58:40
AA  CC  00  0B  D8  00  0A  FF  FF  0F  68  00  04  03  66    = 06/05/2018 11:58:43
AA  CC  00  0B  D8  00  0A  FF  FF  0F  69  00  04  03  67    = 06/05/2018 12:05:34
AA  CC  00  0B  D8  00  0A  FF  FF  0F  6A  00  04  03  68    = 06/05/2018 12:05:35
AA  CC  00  0B  D8  00  0A  FF  FF  0F  6A  00  04  03  68    = 06/05/2018 12:05:36
AA  CC  00  0B  D8  00  0A  FF  FF  0F  6B  00  04  03  69    = 06/05/2018 12:05:41
AA  CC  00  0B  D8  00  0A  FF  FF  0F  6C  00  04  03  6A    = 06/05/2018 12:05:49
AA  CC  00  0B  D8  00  0A  FF  FF  0F  6D  00  04  03  6B    = 06/05/2018 12:08:32
AA  CC  00  0B  D8  00  0A  FF  FF  0F  6D  00  04  03  6B    = 06/05/2018 12:08:36
AA  CC  00  0B  D8  00  0A  FF  FF  0F  6E  00  04  03  6C    = 06/05/2018 12:08:42
AA  CC  00  0B  D8  00  0A  FF  FF  0F  6E  00  04  03  6C    = 06/05/2018 12:08:46
AA  CC  00  0B  D8  00  0A  FF  FF  0F  70  00  04  03  6E    = 06/05/2018 12:08:48
AA  CC  00  0B  D8  00  0A  FF  FF  0F  70  00  04  03  6E    = 06/05/2018 12:08:50
AA  CC  00  0B  D8  00  0A  FF  FF  0F  71  00  04  03  6F    = 06/05/2018 12:09:49
AA  CC  00  0B  D8  00  0A  FF  FF  0F  71  00  04  03  6F    = 06/05/2018 12:09:52
AA  CC  00  0B  D8  00  0A  FF  FF  0F  72  00  04  03  70    = 06/05/2018 12:09:53
AA  CC  00  0B  D8  00  0A  FF  FF  0F  72  00  04  03  70    = 06/05/2018 12:09:56
AA  CC  00  0B  D8  00  0A  FF  FF  0F  73  00  04  03  71    = 06/05/2018 12:09:58
AA  CC  00  0B  D8  00  0A  FF  FF  0F  74  00  04  03  72    = 06/05/2018 12:10:03
AA  CC  00  0B  D8  00  0A  FF  FF  0F  74  00  04  03  72    = 06/05/2018 12:10:05
AA  CC  00  0B  D8  00  0A  FF  FF  0F  75  00  04  03  73    = 06/05/2018 12:12:44
AA  CC  00  0B  D8  00  0A  FF  FF  0F  76  00  04  03  74    = 06/05/2018 12:12:47
AA  CC  00  0B  D8  00  0A  FF  FF  0F  76  00  04  03  74    = 06/05/2018 12:12:48
AA  CC  00  0B  D8  00  0A  FF  FF  0F  77  00  04  03  75    = 06/05/2018 12:12:51
AA  CC  00  0B  D8  00  0A  FF  FF  0F  78  00  04  03  76    = 06/05/2018 12:12:56
AA  CC  00  0B  D8  00  0A  FF  FF  0F  78  00  04  03  76    = 06/05/2018 12:12:57
AA  CC  00  0B  D8  00  0A  FF  FF  0F  79  00  04  03  77    = 06/05/2018 12:14:47
AA  CC  00  0B  D8  00  0A  FF  FF  0F  7A  00  04  03  78    = 06/05/2018 12:14:50
AA  CC  00  0B  D8  00  0A  FF  FF  0F  7A  00  04  03  78    = 06/05/2018 12:14:51
AA  CC  00  0B  D8  00  0A  FF  FF  0F  7B  00  04  03  79    = 06/05/2018 12:14:52
AA  CC  00  0B  D8  00  0A  FF  FF  0F  7C  00  04  03  7A    = 06/05/2018 12:14:56
AA  CC  00  0B  D8  00  0A  FF  FF  0F  7C  00  04  03  7A    = 06/05/2018 12:14:58
AA  CC  00  0B  D8  00  0A  FF  FF  0F  7D  00  04  03  7B    = 06/05/2018 12:17:07
AA  CC  00  0B  D8  00  0A  FF  FF  0F  7E  00  04  03  7C    = 06/05/2018 12:17:10
AA  CC  00  0B  D8  00  0A  FF  FF  0F  00  00  04  02  FE    = 06/05/2018 12:17:16
AA  CC  00  0B  D8  00  0A  FF  FF  0F  01  00  04  02  FF    = 06/05/2018 12:20:26
AA  CC  00  0B  D8  00  0A  FF  FF  0F  01  00  04  02  FF    = 06/05/2018 12:20:28
AA  CC  00  0B  D8  00  0A  FF  FF  0F  02  00  04  03  00    = 06/05/2018 12:20:31
AA  CC  00  0B  D8  00  0A  FF  FF  0F  02  00  04  03  00    = 06/05/2018 12:20:32
AA  CC  00  0B  D8  00  0A  FF  FF  0F  03  00  04  03  01    = 06/05/2018 12:20:34
AA  CC  00  0B  D8  00  0A  FF  FF  0F  03  00  04  03  01    = 06/05/2018 12:20:38
AA  CC  00  0B  D8  00  0A  FF  FF  0F  04  00  04  03  02    = 06/05/2018 12:20:39
AA  CC  00  0B  D8  00  0A  FF  FF  0F  04  00  04  03  02    = 06/05/2018 12:20:41
AA  CC  00  0B  D8  00  0A  FF  FF  0F  05  00  02  03  01    = 06/05/2018 12:22:20
AA  CC  00  0B  D8  00  0A  FF  FF  0F  05  00  02  03  01    = 06/05/2018 12:22:23
AA  CC  00  0B  D8  00  0A  FF  FF  0F  07  00  02  03  03    = 06/05/2018 12:22:27
AA  CC  00  0B  D8  00  0A  FF  FF  0F  07  00  02  03  03    = 06/05/2018 12:22:28
AA  CC  00  0B  D8  00  0A  FF  FF  0F  0A  00  04  03  08    = 06/05/2018 12:22:33
AA  CC  00  0B  D8  00  0A  FF  FF  0F  0B  00  04  03  09    = 06/05/2018 12:22:37
AA  CC  00  0B  D8  00  0A  FF  FF  0F  0B  00  04  03  09    = 06/05/2018 12:22:39
AA  CC  00  0B  D8  00  0A  FF  FF  0F  0C  00  04  03  0A    = 06/05/2018 12:22:40
AA  CC  00  0B  D8  00  0A  FF  FF  0F  0C  00  04  03  0A    = 06/05/2018 12:22:41
AA  CC  00  0B  D8  00  0A  FF  FF  0F  0D  00  04  03  0B    = 06/05/2018 12:29:09
AA  CC  00  0B  D8  00  0A  FF  FF  0F  0E  00  04  03  0C    = 06/05/2018 12:29:10
AA  CC  00  0B  D8  00  0A  FF  FF  0F  0F  00  04  03  0D    = 06/05/2018 12:29:13
AA  CC  00  0B  D8  00  0A  FF  FF  0F  10  00  04  03  0E    = 06/05/2018 12:29:16
AA  CC  00  0B  D8  00  0A  FF  FF  0F  11  00  04  03  0F    = 06/05/2018 12:32:48
AA  CC  00  0B  D8  00  0A  FF  FF  0F  11  00  04  03  0F    = 06/05/2018 12:32:51
AA  CC  00  0B  D8  00  0A  FF  FF  0F  12  00  04  03  10    = 06/05/2018 12:33:54
AA  CC  00  0B  D8  00  0A  FF  FF  0F  12  00  04  03  10    = 06/05/2018 12:33:55
AA  CC  00  0B  D8  00  0A  FF  FF  0F  13  00  04  03  11    = 06/05/2018 12:33:57
AA  CC  00  0B  D8  00  0A  FF  FF  0F  13  00  04  03  11    = 06/05/2018 12:33:58
AA  CC  00  0B  D8  00  0A  FF  FF  0F  14  00  04  03  12    = 06/05/2018 12:34:01
AA  CC  00  0B  D8  00  0A  FF  FF  0F  15  00  04  03  13    = 06/05/2018 12:34:02
AA  CC  00  0B  D8  00  0A  FF  FF  0F  16  00  05  03  15    = 06/05/2018 12:35:45
AA  CC  00  0B  D8  00  0A  FF  FF  0F  18  00  05  03  17    = 06/05/2018 12:35:51
AA  CC  00  0B  D8  00  0A  FF  FF  0F  19  00  05  03  18    = 06/05/2018 12:35:54
AA  CC  00  0B  D8  00  0A  FF  FF  0F  19  00  05  03  18    = 06/05/2018 12:35:55
AA  CC  00  0B  D8  00  0A  FF  FF  0F  1A  00  04  03  18    = 06/05/2018 12:39:25
AA  CC  00  0B  D8  00  0A  FF  FF  0F  1B  00  04  03  19    = 06/05/2018 12:39:27
AA  CC  00  0B  D8  00  0A  FF  FF  0F  1C  00  04  03  1A    = 06/05/2018 12:39:31
AA  CC  00  0B  D8  00  0A  FF  FF  0F  1D  00  04  03  1B    = 06/05/2018 12:39:34
AA  CC  00  0B  D8  00  0A  FF  FF  0F  1E  00  04  03  1C    = 06/05/2018 12:41:52
AA  CC  00  0B  D8  00  0A  FF  FF  0F  1E  00  04  03  1C    = 06/05/2018 12:41:54
AA  CC  00  0B  D8  00  0A  FF  FF  0F  1F  00  04  03  1D    = 06/05/2018 12:41:55
AA  CC  00  0B  D8  00  0A  FF  FF  0F  20  00  04  03  1E    = 06/05/2018 12:41:59
AA  CC  00  0B  D8  00  0A  FF  FF  0F  20  00  04  03  1E    = 06/05/2018 12:42:02
AA  CC  00  0B  D8  00  0A  FF  FF  0F  21  00  04  03  1F    = 06/05/2018 12:42:04
AA  CC  00  0B  D8  00  0A  FF  FF  0F  21  00  04  03  1F    = 06/05/2018 12:42:06
AA  CC  00  0B  D8  00  0A  FF  FF  0F  22  00  04  03  20    = 06/05/2018 12:43:39
AA  CC  00  0B  D8  00  0A  FF  FF  0F  22  00  04  03  20    = 06/05/2018 12:43:40
AA  CC  00  0B  D8  00  0A  FF  FF  0F  23  00  04  03  21    = 06/05/2018 12:43:40
