PACKET INFORMATION OF spot_6
Report Taken on : 30/Apr/18 10:12:30
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
72       DUMMY60          8B B0 00 06 1D 31 A6 E4 92 FF 00 60 00 13 06 46 00 00 00 00 00 00 FE 6B                                           2018     652514047     04/29/2018 00:05:31:984     7473      
73       DUMMY60          FE 6B 00 06 1D 32 A6 E4 92 FF 00 60 00 14 06 46 00 00 00 00 00 00 B4 D4                                           2018     652514047     04/29/2018 00:05:31:984     7474      
74       DUMMY60          B4 D4 00 06 1D 33 A6 E4 92 FF 00 60 00 15 06 46 00 00 00 00 00 00 6C 30                                           2018     652514047     04/29/2018 00:05:31:984     7475      
75       DUMMY60          6C 30 00 06 1D 34 A6 E4 92 FF 00 60 00 16 06 46 00 00 00 00 00 00 F8 6A                                           2018     652514047     04/29/2018 00:05:31:984     7476      
76       DUMMY60          F8 6A 00 06 1D 35 A6 E4 92 FF 00 60 00 17 06 46 00 00 00 00 00 00 42 39                                           2018     652514047     04/29/2018 00:05:31:984     7477      
77       DUMMY60          42 39 00 06 1D 36 A6 E4 92 FF 00 60 00 18 06 46 00 00 00 00 00 00 F8 A6                                           2018     652514047     04/29/2018 00:05:31:984     7478      
78       DUMMY60          F8 A6 00 06 1D 37 A6 E4 92 FF 00 60 00 19 06 46 00 00 00 00 00 00 95 DD                                           2018     652514047     04/29/2018 00:05:31:984     7479      
79       TIMEPACKET       95 DD 00 06 1D 38 A6 E4 A1 FF 00 05 00 00 00 00 00 00 00 00 00 00 AE F9                                           2018     652517887     04/29/2018 00:06:31:984     7480      
80       DUMMY60          AE F9 00 06 1D 39 A6 E4 AB BF 00 60 00 01 06 43 00 00 00 00 00 00 A5 65                                           2018     652520383     04/29/2018 00:07:10:984     7481      
81       DUMMY60          A5 65 00 06 1D 3A A6 E4 B0 FF 00 60 00 02 06 41 00 00 00 00 00 00 DB 2C                                           2018     652521727     04/29/2018 00:07:31:984     7482      
82       DUMMY60          DB 2C 00 06 1D 3B A6 E4 B0 FF 00 60 00 03 06 41 00 00 00 00 00 00 01 F8                                           2018     652521727     04/29/2018 00:07:31:984     7483      
83       DUMMY60          01 F8 00 06 1D 3C A6 E4 B0 FF 00 60 00 04 06 41 00 00 00 00 00 00 51 8B                                           2018     652521727     04/29/2018 00:07:31:984     7484      
84       DUMMY60          51 8B 00 06 1D 3D A6 E4 B0 FF 00 60 00 05 06 41 00 00 00 00 00 00 34 6D                                           2018     652521727     04/29/2018 00:07:31:984     7485      
85       DUMMY60          34 6D 00 06 1D 3E A6 E4 B0 FF 00 60 00 06 06 41 00 00 00 00 00 00 A1 36                                           2018     652521727     04/29/2018 00:07:31:984     7486      
86       DUMMY60          A1 36 00 06 1D 3F A6 E4 B0 FF 00 60 00 07 06 41 00 00 00 00 00 00 A3 4B                                           2018     652521727     04/29/2018 00:07:31:984     7487      
87       DUMMY60          A3 4B 00 06 1D 40 A6 E4 B0 FF 00 60 00 08 06 41 00 00 00 00 00 00 AA 2D                                           2018     652521727     04/29/2018 00:07:31:984     7488      
88       DUMMY60          AA 2D 00 06 1D 41 A6 E4 B0 FF 00 60 00 09 06 41 00 00 00 00 00 00 A8 2C                                           2018     652521727     04/29/2018 00:07:31:984     7489      
