SEQUENCE MISS REPORT 
Report Taken on : 30/Apr/18 09:32:12
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo     STATION NAME     FROM SEQ.NO                    TO SEQ.NO     FROM TIME                   TO TIME                     COUNT     REMARKS     
79         SPOT_8         17983                          18427         04/29/2018 17:56:04:984     04/29/2018 18:31:00:984     443       Missed      
80         SPOT_8         18995                          18997         04/29/2018 19:13:00:984     04/29/2018 19:13:00:984     1         Missed      
81         SPOT_8         19527                          19530         04/29/2018 19:54:04:984     04/29/2018 19:55:00:984     2         Missed      
82         SPOT_8         20647                          20649         04/29/2018 21:19:00:984     04/29/2018 21:19:00:984     1         Missed      
83         SPOT_8         21630                          21632         04/29/2018 22:35:00:984     04/29/2018 22:35:00:984     1         Missed      
84         spot_10        9330                           9332          04/29/2018 01:30:00:984     04/29/2018 01:30:00:984     1         Missed      
85         spot_10        9997                           10000         04/29/2018 02:22:00:984     04/29/2018 02:22:00:984     2         Missed      
86         spot_10        10333                          10335         04/29/2018 02:48:00:984     04/29/2018 02:48:00:984     1         Missed      
87         spot_10        12809                          12812         04/29/2018 05:56:00:984     04/29/2018 05:56:00:984     2         Missed      
88         spot_10        13149                          13151         04/29/2018 06:22:00:984     04/29/2018 06:22:00:984     1         Missed      
89         spot_10        13821                          13824         04/29/2018 07:14:00:984     04/29/2018 07:14:00:984     2         Missed      
90         spot_10        14415                          14417         04/29/2018 08:00:00:984     04/29/2018 08:00:00:984     1         Missed      
91         spot_10        15355                          15358         04/29/2018 09:12:01:984     04/29/2018 09:12:01:984     2         Missed      
92         spot_10        15688                          15690         04/29/2018 09:37:46:984     04/29/2018 09:38:01:984     1         Missed      
93         spot_10        17133                          17136         04/29/2018 11:28:01:984     04/29/2018 11:28:01:984     2         Missed      
94         spot_10        17243                          17245         04/29/2018 11:36:01:984     04/29/2018 11:36:01:984     1         Missed      
95         spot_10        17453                          17456         04/29/2018 11:52:01:984     04/29/2018 11:52:01:984     2         Missed      
96         spot_10        17555                          17557         04/29/2018 12:00:01:984     04/29/2018 12:00:01:984     1         Missed      
97         spot_10        17769                          17772         04/29/2018 12:16:01:984     04/29/2018 12:16:01:984     2         Missed      
98         spot_10        17875                          17877         04/29/2018 12:24:01:984     04/29/2018 12:24:01:984     1         Missed      
99         spot_10        20576                          20578         04/29/2018 15:50:23:984     04/29/2018 15:51:27:984     1         Missed      
100        spot_10        21831                          21834         04/29/2018 17:27:23:984     04/29/2018 17:28:01:984     2         Missed      
101        spot_10        22223                          0             04/29/2018 17:56:23:984     04/29/2018 18:31:32:000     ~~~       DlReset     
102        spot_10        438                            441           04/29/2018 19:05:29:984     04/29/2018 19:05:29:984     2         Missed      
103        spot_10        1527                           1529          04/29/2018 20:29:29:984     04/29/2018 20:29:29:984     1         Missed      
104        spot_10        2085                           2088          04/29/2018 21:11:29:984     04/29/2018 21:11:29:984     2         Missed      
105        spot_10        3066                           3069          04/29/2018 22:27:29:984     04/29/2018 22:27:29:984     2         Missed      
106        spot_10        3731                           3734          04/29/2018 23:17:29:984     04/29/2018 23:17:29:984     2         Missed      
                                                                                                                                                     
                          No Of Times  Missed :          104           Total Missed:               1040                                              
