PACKET INFORMATION OF SPOT_8
Report Taken on : 03/May/18 09:49:10
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
45       DUMMY60          27 CE 00 08 C1 2D A8 35 F4 3F 00 60 00 13 0D 76 00 00 00 00 00 00 8F B7                                           2018     674624575     05/03/2018 00:03:28:984     49453     
46       DUMMY60          8F B7 00 08 C1 2E A8 35 F4 3F 00 60 00 14 0D 76 00 00 00 00 00 00 03 21                                           2018     674624575     05/03/2018 00:03:28:984     49454     
47       DUMMY60          03 21 00 08 C1 2F A8 35 F4 3F 00 60 00 15 0D 76 00 00 00 00 00 00 DF C0                                           2018     674624575     05/03/2018 00:03:28:984     49455     
48       DUMMY60          DF C0 00 08 C1 30 A8 35 F4 3F 00 60 00 16 0D 76 00 00 00 00 00 00 C7 87                                           2018     674624575     05/03/2018 00:03:28:984     49456     
49       DUMMY60          C7 87 00 08 C1 31 A8 35 F4 3F 00 60 00 17 0D 76 00 00 00 00 00 00 CD 55                                           2018     674624575     05/03/2018 00:03:28:984     49457     
50       DUMMY60          CD 55 00 08 C1 32 A8 35 F4 3F 00 60 00 18 0D 76 00 00 00 00 00 00 F9 AE                                           2018     674624575     05/03/2018 00:03:28:984     49458     
51       DUMMY60          F9 AE 00 08 C1 33 A8 35 F4 3F 00 60 00 19 0D 76 00 00 00 00 00 00 7D 64                                           2018     674624575     05/03/2018 00:03:28:984     49459     
52       DUMMY60          7D 64 00 08 C1 34 A8 35 F4 BF 00 60 00 06 0D 74 00 15 00 00 00 00 72 DB                                           2018     674624703     05/03/2018 00:03:30:984     49460     
53       DUMMY60          72 DB 00 08 C1 35 A8 35 FE BF 00 60 00 07 0D 70 AF 16 AB 00 70 41 07 BF                                           2018     674627263     05/03/2018 00:04:10:984     49461     
54       HOURPACKET       07 BF 00 08 C1 36 A8 35 FF FF 00 06 00 00 00 00 00 00 00 00 00 00 9B A2                                           2018     674627583     05/03/2018 00:04:15:984     49462     
55       TIMEPACKET       9B A2 00 08 C1 37 A8 36 0E FF 00 05 00 00 00 00 00 00 00 00 00 00 41 C0                                           2018     674631423     05/03/2018 00:05:15:984     49463     
56       DUMMY60          41 C0 00 08 C1 38 A8 36 12 3F 00 60 00 01 0D 73 00 00 00 00 00 00 F7 A8                                           2018     674632255     05/03/2018 00:05:28:984     49464     
57       DUMMY60          F7 A8 00 08 C1 39 A8 36 12 3F 00 60 00 02 0D 73 00 00 00 00 00 00 02 3A                                           2018     674632255     05/03/2018 00:05:28:984     49465     
58       DUMMY60          02 3A 00 08 C1 3A A8 36 12 3F 00 60 00 03 0D 73 00 00 00 00 00 00 A9 6E                                           2018     674632255     05/03/2018 00:05:28:984     49466     
59       DUMMY60          A9 6E 00 08 C1 3B A8 36 12 3F 00 60 00 04 0D 73 00 00 00 00 00 00 C2 D4                                           2018     674632255     05/03/2018 00:05:28:984     49467     
60       DUMMY60          C2 D4 00 08 C1 3C A8 36 12 3F 00 60 00 05 0D 73 00 00 00 00 00 00 CD 44                                           2018     674632255     05/03/2018 00:05:28:984     49468     
61       DUMMY60          CD 44 00 08 C1 3D A8 36 12 3F 00 60 00 08 0D 73 00 00 00 00 00 00 74 3E                                           2018     674632255     05/03/2018 00:05:28:984     49469     
62       DUMMY60          74 3E 00 08 C1 3E A8 36 12 3F 00 60 00 09 0D 73 00 00 00 00 00 00 1C 85                                           2018     674632255     05/03/2018 00:05:28:984     49470     
