PACKET INFORMATION OF Spot_1
Report Taken on : 03/May/18 09:42:28
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
65       DUMMY60          38 B3 00 01 42 05 A8 36 14 7F 00 60 00 0D 0D 6B 00 00 00 00 00 00 2F 1D                                           2018     674632831     05/03/2018 00:05:37:984     16901     
66       DUMMY60          2F 1D 00 01 42 06 A8 36 14 7F 00 60 00 0E 0D 6B 00 00 00 00 00 00 B7 47                                           2018     674632831     05/03/2018 00:05:37:984     16902     
67       DUMMY60          B7 47 00 01 42 07 A8 36 14 7F 00 60 00 0F 0D 6B 00 00 00 00 00 00 F4 F6                                           2018     674632831     05/03/2018 00:05:37:984     16903     
68       DUMMY60          F4 F6 00 01 42 08 A8 36 14 7F 00 60 00 10 0D 6B 00 00 00 00 00 00 C9 BC                                           2018     674632831     05/03/2018 00:05:37:984     16904     
69       DUMMY60          C9 BC 00 01 42 09 A8 36 14 7F 00 60 00 11 0D 6B 00 00 00 00 00 00 1E 61                                           2018     674632831     05/03/2018 00:05:37:984     16905     
70       DUMMY60          1E 61 00 01 42 0A A8 36 14 7F 00 60 00 12 0D 6B 00 00 00 00 00 00 1F CF                                           2018     674632831     05/03/2018 00:05:37:984     16906     
71       DUMMY60          1F CF 00 01 42 0B A8 36 14 7F 00 60 00 13 0D 6B 00 00 00 00 00 00 A1 81                                           2018     674632831     05/03/2018 00:05:37:984     16907     
72       DUMMY60          A1 81 00 01 42 0C A8 36 14 7F 00 60 00 14 0D 6B 00 00 00 00 00 00 25 DE                                           2018     674632831     05/03/2018 00:05:37:984     16908     
73       DUMMY60          25 DE 00 01 42 0D A8 36 14 7F 00 60 00 15 0D 6B 00 00 00 00 00 00 90 86                                           2018     674632831     05/03/2018 00:05:37:984     16909     
74       DUMMY60          90 86 00 01 42 0E A8 36 14 7F 00 60 00 16 0D 6B 00 00 00 00 00 00 71 CE                                           2018     674632831     05/03/2018 00:05:37:984     16910     
75       DUMMY60          71 CE 00 01 42 0F A8 36 14 7F 00 60 00 17 0D 6B 00 00 00 00 00 00 36 B5                                           2018     674632831     05/03/2018 00:05:37:984     16911     
76       DUMMY60          36 B5 00 01 42 10 A8 36 14 7F 00 60 00 18 0D 6B 00 00 00 00 00 00 B8 60                                           2018     674632831     05/03/2018 00:05:37:984     16912     
77       DUMMY60          B8 60 00 01 42 11 A8 36 14 7F 00 60 00 19 0D 6B 00 00 00 00 00 00 CA 7C                                           2018     674632831     05/03/2018 00:05:37:984     16913     
78       DUMMY60          CA 7C 00 01 42 12 A8 36 17 E0 00 60 00 06 0D 6B AB 15 B3 00 75 41 E0 D7                                           2018     674633696     05/03/2018 00:05:51:500     16914     
79       DUMMY60          E0 D7 00 01 42 13 A8 36 18 AD 00 60 00 06 0D 6B AA 15 A6 00 75 41 ED FA                                           2018     674633901     05/03/2018 00:05:54:703     16915     
80       DUMMY60          ED FA 00 01 42 14 A8 36 19 BF 00 60 00 07 0D 6A 00 16 00 00 00 00 24 E1                                           2018     674634175     05/03/2018 00:05:58:984     16916     
81       DUMMY60          24 E1 00 01 42 15 A8 36 1D C1 00 60 00 06 0D 6A AA 15 B3 00 75 41 F8 30                                           2018     674635201     05/03/2018 00:06:15:015     16917     
82       DUMMY60          F8 30 00 01 42 16 A8 36 1E 8F 00 60 00 06 0D 6C AB 15 A7 00 75 41 F2 4D                                           2018     674635407     05/03/2018 00:06:18:234     16918     
83       DUMMY60          F2 4D 00 01 42 17 A8 36 25 50 00 60 00 06 0D 6A AB 15 B3 00 75 41 F7 92                                           2018     674637136     05/03/2018 00:06:45:250     16919     
84       DUMMY60          F7 92 00 01 42 18 A8 36 26 1E 00 60 00 06 0D 6A AB 15 A6 00 75 41 59 B4                                           2018     674637342     05/03/2018 00:06:48:468     16920     
85       DUMMY60          59 B4 00 01 42 19 A8 36 2B BF 00 60 00 01 0D 6A 00 00 00 00 00 00 0C 7F                                           2018     674638783     05/03/2018 00:07:10:984     16921     
86       DUMMY60          0C 7F 00 01 42 1A A8 36 31 EA 00 60 00 06 0D 6A AB 15 B3 00 75 41 B5 97                                           2018     674640362     05/03/2018 00:07:35:656     16922     
87       DUMMY60          B5 97 00 01 42 1B A8 36 32 7F 00 60 00 02 0D 6A 00 00 00 00 00 00 26 72                                           2018     674640511     05/03/2018 00:07:37:984     16923     
88       DUMMY60          26 72 00 01 42 1C A8 36 32 7F 00 60 00 03 0D 6A 00 00 00 00 00 00 9C 28                                           2018     674640511     05/03/2018 00:07:37:984     16924     
89       DUMMY60          9C 28 00 01 42 1D A8 36 32 7F 00 60 00 04 0D 6A 00 00 00 00 00 00 34 0C                                           2018     674640511     05/03/2018 00:07:37:984     16925     
90       DUMMY60          34 0C 00 01 42 1E A8 36 32 7F 00 60 00 05 0D 6A 00 00 00 00 00 00 0A 92                                           2018     674640511     05/03/2018 00:07:37:984     16926     
91       DUMMY60          0A 92 00 01 42 1F A8 36 32 7F 00 60 00 08 0D 6A 00 00 00 00 00 00 1A DB                                           2018     674640511     05/03/2018 00:07:37:984     16927     
92       DUMMY60          1A DB 00 01 42 20 A8 36 32 7F 00 60 00 09 0D 6A 00 00 00 00 00 00 9A F5                                           2018     674640511     05/03/2018 00:07:37:984     16928     
93       DUMMY60          9A F5 00 01 42 21 A8 36 32 7F 00 60 00 0A 0D 6A 00 00 00 00 00 00 03 7D                                           2018     674640511     05/03/2018 00:07:37:984     16929     
94       DUMMY60          14 4A 00 01 42 23 A8 36 32 7F 00 60 00 0C 0D 6A 00 00 00 00 00 00 93 9A                                           2018     674640511     05/03/2018 00:07:37:984     16931     
95       DUMMY60          93 9A 00 01 42 24 A8 36 32 7F 00 60 00 0D 0D 6A 00 00 00 00 00 00 02 FC                                           2018     674640511     05/03/2018 00:07:37:984     16932     
96       DUMMY60          02 FC 00 01 42 25 A8 36 32 7F 00 60 00 0E 0D 6A 00 00 00 00 00 00 9F EA                                           2018     674640511     05/03/2018 00:07:37:984     16933     
97       DUMMY60          9F EA 00 01 42 26 A8 36 32 7F 00 60 00 0F 0D 6A 00 00 00 00 00 00 84 BD                                           2018     674640511     05/03/2018 00:07:37:984     16934     
98       DUMMY60          84 BD 00 01 42 27 A8 36 32 7F 00 60 00 10 0D 6A 00 00 00 00 00 00 96 43                                           2018     674640511     05/03/2018 00:07:37:984     16935     
99       DUMMY60          96 43 00 01 42 28 A8 36 32 7F 00 60 00 11 0D 6A 00 00 00 00 00 00 53 C4                                           2018     674640511     05/03/2018 00:07:37:984     16936     
100      DUMMY60          53 C4 00 01 42 29 A8 36 32 7F 00 60 00 12 0D 6A 00 00 00 00 00 00 F4 58                                           2018     674640511     05/03/2018 00:07:37:984     16937     
101      DUMMY60          F4 58 00 01 42 2A A8 36 32 7F 00 60 00 13 0D 6A 00 00 00 00 00 00 FF A0                                           2018     674640511     05/03/2018 00:07:37:984     16938     
102      DUMMY60          PACKET NOT AVAILABLE IN MDATA TABLE
FF A0 00 01 42 2B A8 36 32 7F 00 60 00 14 0D 6A 00 00 00 00 00 00 D7 B8      2018     674640511     05/03/2018 00:07:37:984     16939     
103      DUMMY60          D7 B8 00 01 42 2C A8 36 32 7F 00 60 00 15 0D 6A 00 00 00 00 00 00 3B 80                                           2018     674640511     05/03/2018 00:07:37:984     16940     
104      DUMMY60          3B 80 00 01 42 2D A8 36 32 7F 00 60 00 16 0D 6A 00 00 00 00 00 00 B6 A6                                           2018     674640511     05/03/2018 00:07:37:984     16941     
105      DUMMY60          B6 A6 00 01 42 2E A8 36 32 7F 00 60 00 17 0D 6A 00 00 00 00 00 00 93 C1                                           2018     674640511     05/03/2018 00:07:37:984     16942     
106      DUMMY60          93 C1 00 01 42 2F A8 36 32 7F 00 60 00 18 0D 6A 00 00 00 00 00 00 A4 0E                                           2018     674640511     05/03/2018 00:07:37:984     16943     
107      DUMMY60          A4 0E 00 01 42 30 A8 36 32 7F 00 60 00 19 0D 6A 00 00 00 00 00 00 89 3C                                           2018     674640511     05/03/2018 00:07:37:984     16944     
108      DUMMY60          89 3C 00 01 42 31 A8 36 32 B7 00 60 00 06 0D 69 AB 15 A6 00 75 41 CF D1                                           2018     674640567     05/03/2018 00:07:38:859     16945     
109      DUMMY60          CF D1 00 01 42 32 A8 36 37 BF 00 60 00 07 0D 6A 00 16 00 00 00 00 1A 87                                           2018     674641855     05/03/2018 00:07:58:984     16946     
