PACKET INFORMATION OF spot_10
Report Taken on : 03/May/18 09:50:46
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
72       DUMMY60          6F B4 00 0A 22 82 A8 36 08 BF 00 60 00 14 06 A6 00 00 00 00 00 00 D5 AB                                           2018     674629823     05/03/2018 00:04:50:984     8834      
73       DUMMY60          D5 AB 00 0A 22 83 A8 36 08 BF 00 60 00 15 06 A6 00 00 00 00 00 00 8E 3C                                           2018     674629823     05/03/2018 00:04:50:984     8835      
74       DUMMY60          8E 3C 00 0A 22 84 A8 36 08 BF 00 60 00 16 06 A6 00 00 00 00 00 00 E0 A0                                           2018     674629823     05/03/2018 00:04:50:984     8836      
75       DUMMY60          E0 A0 00 0A 22 85 A8 36 08 BF 00 60 00 17 06 A6 00 00 00 00 00 00 96 28                                           2018     674629823     05/03/2018 00:04:50:984     8837      
76       DUMMY60          96 28 00 0A 22 86 A8 36 08 BF 00 60 00 18 06 A6 00 00 00 00 00 00 B8 80                                           2018     674629823     05/03/2018 00:04:50:984     8838      
77       DUMMY60          B8 80 00 0A 22 87 A8 36 08 BF 00 60 00 19 06 A6 00 00 00 00 00 00 FF 9F                                           2018     674629823     05/03/2018 00:04:50:984     8839      
78       DUMMY60          PACKET NOT AVAILABLE IN MDATA TABLE
FF 9F 00 0A 22 88 A8 36 09 BF 00 60 00 01 06 A4 00 00 00 00 00 00 E7 EA      2018     674630079     05/03/2018 00:04:54:984     8840      
79       TIMEPACKET       E7 EA 00 0A 22 89 A8 36 18 BF 00 05 00 00 00 00 00 00 00 00 00 00 8B B6                                           2018     674633919     05/03/2018 00:05:54:984     8841      
80       DUMMY60          8B B6 00 0A 22 8A A8 36 26 BF 00 60 00 02 06 A5 00 00 00 00 00 00 E7 62                                           2018     674637503     05/03/2018 00:06:50:984     8842      
81       DUMMY60          E7 62 00 0A 22 8B A8 36 26 BF 00 60 00 03 06 A5 00 00 00 00 00 00 9E 5A                                           2018     674637503     05/03/2018 00:06:50:984     8843      
82       DUMMY60          9E 5A 00 0A 22 8C A8 36 26 BF 00 60 00 04 06 A5 00 00 00 00 00 00 20 95                                           2018     674637503     05/03/2018 00:06:50:984     8844      
